Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,25-064,29,2067,13,4,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,28-042,5,450,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Manuel De Luca,it ITA,FW,Cremonese,it Serie A,27-300,2,16,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,25-100,8,598,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37-355,11,426,1,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27-342,17,1144,11,10,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Koni De Winter,be BEL,DF,Milan,it Serie A,23-335,25,1785,18,13,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,30-285,18,1286,20,12,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Romain Del Castillo,fr FRA,"MF,FW",Brest,fr Ligue 1,30-045,30,2485,36,25,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Enrico Del Prato,it ITA,"DF,MF",Parma,it Serie A,26-184,34,2861,20,24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Thomas Delaine,fr FRA,"MF,DF",Le Havre,fr Ligue 1,34-050,5,201,0,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Liam Delap,eng ENG,FW,Chelsea,eng Premier League,23-094,26,1013,3,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,25-096,22,1077,14,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Olivier Deman,be BEL,"DF,MF",Werder Bremen,de Bundesliga,26-037,15,1164,22,9,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Pape Demba Diop,sn SEN,MF,Toulouse,fr Ligue 1,22-251,15,1181,20,29,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Ali Dembélé,fr FRA,DF,Torino,it Serie A,22-128,2,21,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,28-363,20,962,2,0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,28-126,31,1995,21,22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,28-049,24,1412,10,2,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21-310,14,1131,8,14,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,24-144,30,2664,8,26,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Branco van den Boomen,nl NED,MF,Angers,fr Ligue 1,30-296,14,1148,14,7,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,31-028,19,1330,25,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Daniel Denoon,ch SUI,DF,Pisa,it Serie A,22-105,2,122,2,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nelson Deossa,co COL,MF,Real Betis,es La Liga,26-096,19,653,7,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jesse Derry,eng ENG,MF,Chelsea,eng Premier League,18-317,1,44,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-322,5,450,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Bahmed Deuff,mr MTN,MF,Nantes,fr Ligue 1,20-061,11,250,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
