Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Adam Obert,sk SVK,"DF,MF",Cagliari,it Serie A,23-263,33,2591,30,42,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Cas Odenthal,nl NED,DF,Sassuolo,it Serie A,25-229,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
David Odogu,de GER,DF,Milan,it Serie A,19-344,2,6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Álvaro Odriozola,es ESP,DF,Real Sociedad,es La Liga,30-150,5,201,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tim Oermann,de GER,DF,Leverkusen,de Bundesliga,22-219,2,18,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Deniz Ofli,tr TUR,DF,Bayern Munich,de Bundesliga,19-045,1,6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ifechukwu Ogbus,ch SUI,DF,Freiburg,de Bundesliga,20-147,17,1158,15,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Bryan Okoh,ch SUI,DF,Auxerre,fr Ligue 1,22-362,13,1005,9,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mathías Olivera,uy URU,"DF,MF",Napoli,it Serie A,28-194,23,1293,22,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tuomas Ollila,fi FIN,DF,Paris FC,fr Ligue 1,26-019,10,308,1,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Warmed Omari,km COM,DF,Hamburger SV,de Bundesliga,26-020,19,1529,18,25,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Andrew Omobamidele,ie IRL,DF,Strasbourg,fr Ligue 1,23-324,23,1177,4,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Fredrik Oppegard,no NOR,"MF,DF",Auxerre,fr Ligue 1,23-279,23,1246,20,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Willi Orban,hu HUN,DF,RB Leipzig,de Bundesliga,33-191,32,2859,31,42,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ángel Ortíz,es ESP,DF,Real Betis,es La Liga,21-292,13,584,19,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Asier Osambela,es ESP,DF,Osasuna,es La Liga,22-094,16,333,2,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Gabriel Osho,ng NGA,DF,Auxerre,fr Ligue 1,27-272,2,134,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Sebastian Otoa,dk DEN,DF,Genoa,it Serie A,22-000,11,649,10,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Abdoul Ouattara,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,20-203,26,1588,12,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kassoum Ouattara,fr FRA,"MF,DF",Monaco,fr Ligue 1,21-211,15,967,19,19,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Latif Ouedraogo,bf BFA,DF,Genoa,it Serie A,18-202,1,20,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Max Oyedele,pl POL,"MF,DF",Strasbourg,fr Ligue 1,21-187,8,446,8,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Daniel Oyegoke,eng ENG,"MF,DF",Hellas Verona,it Serie A,23-130,15,594,9,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Cenk Özkacar,tr TUR,DF,Köln,de Bundesliga,25-219,24,1701,24,22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nico O’Reilly,eng ENG,"DF,MF",Manchester City,eng Premier League,21-053,33,2556,36,20,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Jon Pacheco,es ESP,DF,Alavés,es La Liga,25-125,22,1735,16,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Willian Pacho,ec ECU,DF,Paris Saint-Germain,fr Ligue 1,24-209,23,1914,26,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marco Palestra,it ITA,"MF,DF",Cagliari,it Serie A,21-071,35,2963,33,18,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Matteo Palma,de GER,DF,Udinese,it Serie A,18-061,5,120,0,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Emerson Palmieri,it ITA,"DF,MF",Marseille,fr Ligue 1,31-283,27,2024,29,32,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Diego Pampín,es ESP,DF,Levante,es La Liga,26-059,8,534,5,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Leart Paqarada,xk KVX,DF,Heidenheim,de Bundesliga,31-217,1,6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Victor Parada,es ESP,DF,Alavés,es La Liga,24-039,27,1945,14,8,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Aitor Paredes,es ESP,DF,Athletic Club,es La Liga,26-014,18,1540,12,24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Patric,es ESP,"MF,DF",Lazio,it Serie A,33-026,14,667,0,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nathan Patterson,sct SCO,DF,Everton,eng Premier League,24-209,7,241,4,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Benjamin Pavard,fr FRA,DF,Marseille,fr Ligue 1,30-046,26,1925,12,24,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Benjamin Pavard,fr FRA,DF,Inter,it Serie A,30-046,1,90,1,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Strahinja Pavlović,rs SRB,DF,Milan,it Serie A,24-354,32,2689,24,20,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Marcus Pedersen,no NOR,"MF,DF",Torino,it Serie A,25-301,27,1990,12,10,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Alfonso Pedraza,es ESP,DF,Villarreal,es La Liga,30-034,25,1533,30,25,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Zé Pedro Figueiredo,pt POR,DF,Cagliari,it Serie A,28-341,22,1637,18,20,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Adrià Pedrosa,es ESP,"DF,MF",Elche,es La Liga,28-000,24,1049,18,16,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Adrià Pedrosa,es ESP,"DF,MF",Sevilla,es La Liga,28-000,1,6,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Luca Pellegrini,it ITA,DF,Lazio,it Serie A,27-067,23,1388,15,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Timothee Pembele,fr FRA,"MF,DF",Le Havre,fr Ligue 1,23-246,13,336,4,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kojo Peprah Oppong,gh GHA,DF,Nice,fr Ligue 1,21-343,28,2335,26,28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ángel Pérez,es ESP,"MF,DF",Alavés,es La Liga,23-257,13,1018,12,6,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Joselu Pérez,es ESP,DF,Getafe,es La Liga,22-062,2,22,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Matías Pérez,cl CHI,DF,Lecce,it Serie A,21-030,1,31,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nacho Pérez,es ESP,DF,Levante,es La Liga,17-254,2,80,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Romain Perraud,fr FRA,DF,Lille,fr Ligue 1,28-233,29,2196,29,23,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Léo Pétrot,fr FRA,DF,Elche,es La Liga,29-028,31,1571,22,17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Giuseppe Pezzella,it ITA,"MF,DF",Cremonese,it Serie A,28-165,29,2405,31,11,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,28-116,18,1457,24,25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,32-349,4,318,5,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marin Pongračić,hr CRO,DF,Fiorentina,it Serie A,28-244,33,2804,15,35,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Pedro Porro,es ESP,DF,Tottenham Hotspur,eng Premier League,26-242,32,2616,45,30,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Stefan Posch,at AUT,DF,Como,it Serie A,28-364,14,393,3,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
